지역,연도,배출원,PM10,PM2.5
대전광역시,2012,에너지산업 연소,5384,4807
대전광역시,2012,비산업 연소,71191,40932
대전광역시,2012,제조업 연소,1141,812
대전광역시,2012,생산공정,804,687
대전광역시,2012,도로이동오염원,289389,266238
대전광역시,2012,비도로이동오염원,115941,106664
대전광역시,2012,폐기물처리,5110,4147
대전광역시,2012,기타 면오염원,8517,7665
대전광역시,2013,에너지산업 연소,3112,2339
대전광역시,2013,비산업 연소,66574,39896
대전광역시,2013,제조업 연소,1207,868
대전광역시,2013,생산공정,821,726
대전광역시,2013,도로이동오염원,269770,248188
대전광역시,2013,비도로이동오염원,138046,127001
대전광역시,2013,폐기물처리,7019,5936
대전광역시,2013,기타 면오염원,7820,7038
대전광역시,2014,에너지산업 연소,2695,1402
대전광역시,2014,비산업 연소,33124,22148
대전광역시,2014,제조업 연소,740,585
대전광역시,2014,생산공정,875,731
대전광역시,2014,도로이동오염원,224067,206141
대전광역시,2014,비도로이동오염원,108765,100063
대전광역시,2014,폐기물처리,6075,5078
대전광역시,2014,기타 면오염원,8142,7328
대전광역시,2015,에너지산업 연소,3780,2251
대전광역시,2015,비산업 연소,32187,21756
대전광역시,2015,제조업 연소,607,490
대전광역시,2015,생산공정,873,756
대전광역시,2015,도로이동오염원,209391,192640
대전광역시,2015,비도로이동오염원,137578,126571
대전광역시,2015,폐기물처리,5850,4907
대전광역시,2015,기타 면오염원,8151,7336
대전광역시,2015,비산먼지,1426683,226842
대전광역시,2015,생물성 연소,87029,72462
대전광역시,2016,에너지산업 연소,4433,2611
대전광역시,2016,비산업 연소,29804,21278
대전광역시,2016,제조업 연소,793,745
대전광역시,2016,생산공정,473,400
대전광역시,2016,도로이동오염원,216816,199471
대전광역시,2016,비도로이동오염원,107569,98963
대전광역시,2016,폐기물처리,6554,5512
대전광역시,2016,기타 면오염원,6487,5839
대전광역시,2016,비산먼지,1158611,201032
대전광역시,2016,생물성 연소,84838,70034
대전광역시,2017,에너지산업 연소,4212,2641
대전광역시,2017,비산업 연소,25983,19678
대전광역시,2017,제조업 연소,731,696
대전광역시,2017,생산공정,554,474
대전광역시,2017,도로이동오염원,198299,182435
대전광역시,2017,비도로이동오염원,115638,106386
대전광역시,2017,폐기물처리,7204,6082
대전광역시,2017,기타 면오염원,6913,6222
대전광역시,2017,비산먼지,1253392,220031
대전광역시,2017,생물성 연소,89337,74048
대전광역시,2018,에너지산업 연소,3389,2505
대전광역시,2018,비산업 연소,24597,19353
대전광역시,2018,제조업 연소,1352,1282
대전광역시,2018,생산공정,142,85
대전광역시,2018,도로이동오염원,189017,173895
대전광역시,2018,비도로이동오염원,144434,132879
대전광역시,2018,폐기물처리,6815,5770
대전광역시,2018,기타 면오염원,6696,6027
대전광역시,2018,비산먼지,1449423,243527
대전광역시,2018,생물성 연소,82432,68124
대전광역시,2019,에너지산업 연소,2767,2574
대전광역시,2019,비산업 연소,21480,17695
대전광역시,2019,제조업 연소,4002,3935
대전광역시,2019,생산공정,186,122
대전광역시,2019,도로이동오염원,137099,126131
대전광역시,2019,비도로이동오염원,130597,120149
대전광역시,2019,폐기물처리,5180,4479
대전광역시,2019,기타 면오염원,5588,5029
대전광역시,2019,비산먼지,1258656,222780
대전광역시,2019,생물성 연소,80162,66488
울산광역시,2011,에너지산업 연소,157353,95843
울산광역시,2011,비산업 연소,38132,26212
울산광역시,2011,제조업 연소,553075,235005
울산광역시,2011,생산공정,984477,833328
울산광역시,2011,도로이동오염원,303111,278862
울산광역시,2011,비도로이동오염원,1023809,941987
울산광역시,2011,폐기물처리,16168,14203
울산광역시,2011,기타 면오염원,9108,8198
울산광역시,2012,에너지산업 연소,181849,122052
울산광역시,2012,비산업 연소,37036,25698
울산광역시,2012,제조업 연소,1112788,521228
울산광역시,2012,생산공정,781546,650308
울산광역시,2012,도로이동오염원,302617,278407
울산광역시,2012,비도로이동오염원,1066428,981113
울산광역시,2012,폐기물처리,19665,17138
울산광역시,2012,기타 면오염원,6670,6003
울산광역시,2013,에너지산업 연소,184966,127550
울산광역시,2013,비산업 연소,36261,25645
울산광역시,2013,제조업 연소,1325251,661206
울산광역시,2013,생산공정,700103,574002
울산광역시,2013,도로이동오염원,251864,231715
울산광역시,2013,비도로이동오염원,1037717,954699
울산광역시,2013,폐기물처리,23888,20691
울산광역시,2013,기타 면오염원,42150,37935
울산광역시,2014,에너지산업 연소,149286,106397
울산광역시,2014,비산업 연소,33703,23579
울산광역시,2014,제조업 연소,1843554,874699
울산광역시,2014,생산공정,708696,580541
울산광역시,2014,도로이동오염원,228969,210652
울산광역시,2014,비도로이동오염원,640442,582270
울산광역시,2014,폐기물처리,58182,46536
울산광역시,2014,기타 면오염원,5700,5130
울산광역시,2015,에너지산업 연소,117385,78873
울산광역시,2015,비산업 연소,37038,26115
울산광역시,2015,제조업 연소,2046830,1002260
울산광역시,2015,생산공정,791366,658235
울산광역시,2015,도로이동오염원,213009,195968
울산광역시,2015,비도로이동오염원,648967,590976
울산광역시,2015,폐기물처리,67141,59415
울산광역시,2015,기타 면오염원,5496,4946
울산광역시,2015,비산먼지,1885303,291093
울산광역시,2015,생물성 연소,97484,78902
울산광역시,2016,에너지산업 연소,163722,111342
울산광역시,2016,비산업 연소,42714,29923
울산광역시,2016,제조업 연소,998977,467640
울산광역시,2016,생산공정,830528,692418
울산광역시,2016,도로이동오염원,219372,201822
울산광역시,2016,비도로이동오염원,627386,571115
울산광역시,2016,폐기물처리,84113,75199
울산광역시,2016,기타 면오염원,5675,5107
울산광역시,2016,비산먼지,1666657,266736
울산광역시,2016,생물성 연소,99379,80321
울산광역시,2017,에너지산업 연소,110502,79985
울산광역시,2017,비산업 연소,35235,25069
울산광역시,2017,제조업 연소,862097,407628
울산광역시,2017,생산공정,789465,656770
울산광역시,2017,도로이동오염원,190910,175637
울산광역시,2017,비도로이동오염원,550012,500832
울산광역시,2017,폐기물처리,69768,62197
울산광역시,2017,기타 면오염원,7921,7129
울산광역시,2017,비산먼지,1302801,230055
울산광역시,2017,생물성 연소,102957,84104
울산광역시,2018,에너지산업 연소,149583,104110
울산광역시,2018,비산업 연소,30397,21788
울산광역시,2018,제조업 연소,950246,464355
울산광역시,2018,생산공정,801552,667993
울산광역시,2018,도로이동오염원,165820,152555
울산광역시,2018,비도로이동오염원,549010,498934
울산광역시,2018,폐기물처리,59159,52448
울산광역시,2018,기타 면오염원,5943,5348
울산광역시,2018,비산먼지,1270374,226666
울산광역시,2018,생물성 연소,97696,79816
울산광역시,2019,에너지산업 연소,92640,82020
울산광역시,2019,비산업 연소,29354,21582
울산광역시,2019,제조업 연소,816886,400646
울산광역시,2019,생산공정,784255,653283
울산광역시,2019,도로이동오염원,133336,122669
울산광역시,2019,비도로이동오염원,607053,551624
울산광역시,2019,폐기물처리,69007,61224
울산광역시,2019,기타 면오염원,4684,4216
울산광역시,2019,비산먼지,1172984,212931
울산광역시,2019,생물성 연소,91502,74992
세종특별자치시,2012,비산업 연소,1979,1640
세종특별자치시,2012,제조업 연소,2120,1495
세종특별자치시,2012,생산공정,1264,1138
세종특별자치시,2012,도로이동오염원,61836,56889
세종특별자치시,2012,비도로이동오염원,272636,250824
세종특별자치시,2012,폐기물처리,2270,2026
세종특별자치시,2012,기타 면오염원,1392,1253
세종특별자치시,2013,에너지산업 연소,3984,3984
세종특별자치시,2013,비산업 연소,5846,5387
세종특별자치시,2013,제조업 연소,1816,1361
세종특별자치시,2013,생산공정,2312,2075
세종특별자치시,2013,도로이동오염원,57998,53359
세종특별자치시,2013,비도로이동오염원,267198,245820
세종특별자치시,2013,폐기물처리,2352,2012
세종특별자치시,2013,기타 면오염원,1494,1345
세종특별자치시,2014,에너지산업 연소,17207,17207
세종특별자치시,2014,비산업 연소,3677,2415
세종특별자치시,2014,제조업 연소,1688,1233
세종특별자치시,2014,생산공정,2379,2126
세종특별자치시,2014,도로이동오염원,46649,42917
세종특별자치시,2014,비도로이동오염원,69177,63641
세종특별자치시,2014,폐기물처리,2575,2154
세종특별자치시,2014,기타 면오염원,1911,1720
세종특별자치시,2015,에너지산업 연소,14048,14048
세종특별자치시,2015,비산업 연소,8386,7191
세종특별자치시,2015,제조업 연소,2285,1738
세종특별자치시,2015,생산공정,2891,2602
세종특별자치시,2015,도로이동오염원,47649,43837
세종특별자치시,2015,비도로이동오염원,152823,140596
세종특별자치시,2015,폐기물처리,2575,2304
세종특별자치시,2015,기타 면오염원,1538,1384
세종특별자치시,2015,비산먼지,1090290,142074
세종특별자치시,2015,생물성 연소,56304,44046
세종특별자치시,2016,에너지산업 연소,17850,17850
세종특별자치시,2016,비산업 연소,3536,2480
세종특별자치시,2016,제조업 연소,2716,2155
세종특별자치시,2016,생산공정,2740,2466
